id,method,label,ref_pdb,pred_pdb,vh,vl,base_pdb_id
9ECX,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/9ECX.pdb,af3_output/9ecx/fold_9ecx_model_0.cif,C,D,9ECX
9FIK,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/9FIK.pdb,af3_output/9fik/fold_9fik_model_0.cif,B,C,9FIK
9GP2,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/9GP2.pdb,af3_output/9gp2/fold_9gp2_model_0.cif,H,L,9GP2
9JD1,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/9JD1.pdb,af3_output/9jd1/fold_9jd1_model_0.cif,B,A,9JD1
9JPV,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/9JPV.pdb,af3_output/9jpv/fold_9jpv_model_0.cif,A,B,9JPV
9ML8,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/9ML8.pdb,af3_output/9ml8/fold_9ml8_model_0.cif,E,F,9ML8
9ML9,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/9ML9.pdb,af3_output/9ml9/fold_9ml9_model_0.cif,H,L,9ML9
9MPB,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/9MPB.pdb,af3_output/9mpb/fold_9mpb_model_0.cif,H,L,9MPB
9MQV,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/9MQV.pdb,af3_output/9mqv/fold_9mqv_model_0.cif,H,L,9MQV
9SG2,AlphaFold3,af3_best_model_0,/Users/tinaganjipour/Documents/UMCU/2. The project/ab-difficulty/rmsd/rcsb_pdb/9SG2.pdb,af3_output/9sg2/fold_9sg2_model_0.cif,H,L,9SG2
